ID,Title,Description
1143,Indeed for hiring,This project is similar to indeed for hiring ? designed for job portals related services.
1144,Monster for careers,This project is similar to monster for careers ? designed for job portals related services.
1145,Uber for cars,This project is similar to uber for cars ? designed for transport related services.
1146,1mg for medicines,This project is similar to 1mg for medicines ? designed for healthcare related services.
1147,Monster for careers,This project is similar to monster for careers ? designed for job portals related services.
1148,Khan Academy for education,This project is similar to khan academy for education ? designed for education related services.
1149,Uber for cars,This project is similar to uber for cars ? designed for transport related services.
1150,Pharmeasy for prescriptions,This project is similar to pharmeasy for prescriptions ? designed for healthcare related services.
1151,Udemy for learning,This project is similar to udemy for learning ? designed for education related services.
1152,Netflix for movies,This project is similar to netflix for movies ? designed for entertainment related services.
1153,Swiggy for food,This project is similar to swiggy for food ? designed for food delivery related services.
1154,DoorDash for restaurants,This project is similar to doordash for restaurants ? designed for food delivery related services.
1155,Pharmeasy for prescriptions,This project is similar to pharmeasy for prescriptions ? designed for healthcare related services.
1156,LinkedIn for professionals,This project is similar to linkedin for professionals ? designed for job portals related services.
1157,Coursera for online courses,This project is similar to coursera for online courses ? designed for education related services.
1158,Flipkart for deals,This project is similar to flipkart for deals ? designed for e-commerce related services.
1159,DoorDash for restaurants,This project is similar to doordash for restaurants ? designed for food delivery related services.
1160,Zocdoc for appointments,This project is similar to zocdoc for appointments ? designed for healthcare related services.
1161,Indeed for hiring,This project is similar to indeed for hiring ? designed for job portals related services.
1162,Flipkart for deals,This project is similar to flipkart for deals ? designed for e-commerce related services.
1163,Amazon for shopping,This project is similar to amazon for shopping ? designed for e-commerce related services.
1164,Ola for taxis,This project is similar to ola for taxis ? designed for transport related services.
1165,Grubhub for dishes,This project is similar to grubhub for dishes ? designed for food delivery related services.
1166,Udemy for learning,This project is similar to udemy for learning ? designed for education related services.
1167,Udemy for learning,This project is similar to udemy for learning ? designed for education related services.
1168,Coursera for online courses,This project is similar to coursera for online courses ? designed for education related services.
1169,Gaana for songs,This project is similar to gaana for songs ? designed for entertainment related services.
1170,Cure.fit for wellness,This project is similar to cure.fit for wellness ? designed for healthcare related services.
1171,Monster for careers,This project is similar to monster for careers ? designed for job portals related services.
1172,Udemy for learning,This project is similar to udemy for learning ? designed for education related services.
1173,Udemy for learning,This project is similar to udemy for learning ? designed for education related services.
1174,Practo for doctors,This project is similar to practo for doctors ? designed for healthcare related services.
1175,Udemy for learning,This project is similar to udemy for learning ? designed for education related services.
1176,Byju?s for students,This project is similar to byju?s for students ? designed for education related services.
1177,Unacademy for classes,This project is similar to unacademy for classes ? designed for education related services.
1178,Glassdoor for companies,This project is similar to glassdoor for companies ? designed for job portals related services.
1179,LinkedIn for professionals,This project is similar to linkedin for professionals ? designed for job portals related services.
1180,Grubhub for dishes,This project is similar to grubhub for dishes ? designed for food delivery related services.
1181,1mg for medicines,This project is similar to 1mg for medicines ? designed for healthcare related services.
1182,YouTube for videos,This project is similar to youtube for videos ? designed for entertainment related services.
1183,Amazon for shopping,This project is similar to amazon for shopping ? designed for e-commerce related services.
1184,Cure.fit for wellness,This project is similar to cure.fit for wellness ? designed for healthcare related services.
1185,Rapido for bikes,This project is similar to rapido for bikes ? designed for transport related services.
1186,Deliveroo for takeaways,This project is similar to deliveroo for takeaways ? designed for food delivery related services.
1187,Spotify for music,This project is similar to spotify for music ? designed for entertainment related services.
1188,Amazon for shopping,This project is similar to amazon for shopping ? designed for e-commerce related services.
1189,Khan Academy for education,This project is similar to khan academy for education ? designed for education related services.
1190,Khan Academy for education,This project is similar to khan academy for education ? designed for education related services.
1191,Gaana for songs,This project is similar to gaana for songs ? designed for entertainment related services.
1192,Unacademy for classes,This project is similar to unacademy for classes ? designed for education related services.
1193,Coursera for online courses,This project is similar to coursera for online courses ? designed for education related services.
1194,Practo for doctors,This project is similar to practo for doctors ? designed for healthcare related services.
1195,Swiggy for food,This project is similar to swiggy for food ? designed for food delivery related services.
1196,Swiggy for food,This project is similar to swiggy for food ? designed for food delivery related services.
1197,BlaBlaCar for ridesharing,This project is similar to blablacar for ridesharing ? designed for transport related services.
1198,Cure.fit for wellness,This project is similar to cure.fit for wellness ? designed for healthcare related services.
1199,Hotstar for streaming,This project is similar to hotstar for streaming ? designed for entertainment related services.
1200,Unacademy for classes,This project is similar to unacademy for classes ? designed for education related services.
